卡	段落	誰	提案	觸發	審閱	決定	全文
inv-129	把管子拿給他	諾亞	down	修收音機的：（拆開，對著燈看了一下）嗯。〔拆開→down〕	OK		旁白：她把紙包放到工作檯上。 ／ 修收音機的：（拆開，對著燈看了一下）嗯。 ／ 旁白：他拉開抽屜，數出剛好的錢推過來。 ／ 玩家：不用。 ／ 修收音機的：拿著。 ／ 旁白：她沒有拿。他把錢放在她那一邊的桌角，回頭弄他的。
inv-130	把管子拿給他	諾亞	down	（沿用前一張）	OK		玩家：管子拿上去了。兩百八，他數得剛好，推過來。 他沒有道謝。我沒有拿。錢在桌角。
inv-132	問諾亞那個穿西裝的	諾亞	down	修收音機的：（沒有抬頭）有。〔沒有抬頭→down〕	OK		玩家：這棟樓有沒有一個穿西裝的先生。 ／ 修收音機的：（沒有抬頭）有。 ／ 玩家：你認識他嗎。 ／ 修收音機的：不認識。 ／ 玩家：可是你知道我在講誰。 ／ 修收音機的：知道啊。 ／ 玩家：他長什麼樣子。 ／ 旁白：他把螺絲轉了半圈。 ／ 修收音機的：高。西裝。 ／ 修收音機的：金色的帽子。 ／ 玩家：金色。 ／ 修收音機的：軟的那種。 ／ 玩家：還有嗎。 ／ 修收音機的：短靴擦得很亮。 ／ 玩家：你看得很仔細。 ／ 修收音機的：我們點過頭很多次了。 ／ 玩家：他叫什麼名字。 ／ 修收音機的：不知道。 ／ 玩家：你們點過頭很多次。 ／ 修收音機的：他也沒有問我。
inv-136	問諾亞那個穿西裝的	諾亞	down	（沿用前一張）	OK		修收音機的：錄什麼。收音機才要錄。
inv-137	問諾亞那個穿西裝的	諾亞	down	（沿用前一張）	OK		玩家：頂樓。我問他那個穿西裝的。 「金色的帽子。」「短靴擦得很亮。」 管理員在那棟樓做了二十年，給我的是「很高、西裝、帽子沒印象」。 樓上這個人只在樓梯口遇到他，帽子的顏色講得出來。 記一下：看清楚跟看過幾次沒有關係。 他不知道那個人叫什麼名字。他也沒有要知道。
inv-153	問斑比守則本是不是她畫的	斑比	away	畫她的人：（對著螢幕）斑比。〔對著螢幕→away〕	OK		玩家：《守則本》那本是妳畫的嗎。 ／ 畫她的人：後面是空白的。第一頁那些字是我畫的。 ／ 玩家：好賣嗎。 ／ 畫她的人：那個要問他們。 ／ 玩家：他們給的意見多嗎。 ／ 畫她的人：兩種。 ／ 玩家：兩種？ ／ 畫她的人：「可以。」「再看看。」 ／ 畫她的人：兩年了。沒有第三種。 ／ 玩家：那妳怎麼知道要改哪裡。 ／ 畫她的人：不知道啊。 ／ 旁白：她把筆放下。 ／ 畫她的人：所以我整張重畫。 ／ 玩家：……那很花時間。 ／ 畫她的人：我以前也這樣想。我以為他覺得我很煩。 ／ 畫她的人：去年我把信從頭翻過一次。 ／ 畫她的人：一張都沒有退過。 ／ 畫她的人：兩年，一張都沒有。 ／ 旁白：她把筆拿起來，又放下。 ／ 畫她的人：我沒有在替他講話。他只是沒有退。 ／ 玩家：我還不知道要怎麼稱呼妳。 ／ 畫她的人：（對著螢幕）斑比。 ／ 玩家：本名嗎。 ／ 畫她的人：接案用的。
inv-154	問斑比守則本是不是她畫的	斑比	away	（沿用前一張）	OK		玩家：發案的是經紀公司。兩年，那個窗口只回兩種：可以，再看看。 沒有第三種。所以她每一次都整張重畫。 她以為對方嫌她煩。她去年把信翻過一次，一張都沒有退過。 她講這一段的時候手一直停下來又拿起來。 我來問的是別人。她答的是她自己。 她說她叫斑比。接案用的名字。
inv-161	再問一次她會不會忘	斑比	look	斑比：（停了一下）喔。〔停了一下→look〕	OK		旁白：她還沒開口。斑比先講。 ／ 斑比：你會不會覺得她很難搞。 ／ 玩家：不會。 ／ 斑比：那四十版是我自己要改的。她一次都沒有嫌過。 ／ 斑比：我怕你寫出去變成她很麻煩。 ／ 玩家：我沒有寫出去。 ／ 斑比：（停了一下）喔。 ／ 旁白：她轉回螢幕。過了一下。 ／ 斑比：那你在寫什麼。 ／ 玩家：我在確認一件事。 ／ 玩家：大家都當她那個毛病是人設。 ／ 玩家：我想知道那是不是真的。 ／ 旁白：她沒有回頭。滑鼠滾輪的聲音很久。 ／ 斑比：我下午都在趕稿。 ／ 斑比：兩點以後才有空。
inv-162	再問一次她會不會忘	斑比	look	（沿用前一張）	OK		玩家：我今天什麼都還沒問，她先開口。 她說四十版是她自己要改的，客戶一次都沒有嫌過。她怕我寫出去讓對方難看。 她問我在寫什麼。我講了。 她說她下午都在趕稿，兩點以後才有空。 我兩點以後再去。
inv-166	在路上攔她	斑比	away	洗衣店那個人：（看著烘乾機）……你認錯人了。〔看著烘乾機→away〕	OK		旁白：一個女的抱著洗衣籃站在烘乾機前面，十根手指纏著指套跟膠布。她開口的時候，那個人往旁邊移了半步。 ／ 玩家：不好意思。 ／ 玩家：妳手上那個，是畫圖用的吧。 ／ 洗衣店那個人：（看著烘乾機）……你認錯人了。 ／ 旁白：烘乾機上面顯示還有二十六分鐘。她沒有走。
inv-168	在路上攔她	斑比	away	斑比：（看著收銀台）……你認錯人了。〔看著收銀台→away〕	OK		旁白：結帳的隊伍前面站著一個女的，抱著一袋洗衣粉，十根手指纏著指套跟膠布。她開口的時候，那個人往旁邊移了半步。 ／ 玩家：不好意思。 ／ 玩家：妳手上那個，是畫圖用的吧。 ／ 斑比：（看著收銀台）……你認錯人了。 ／ 旁白：店員刷了條碼。她沒有走，排在後面。
inv-215	問店員那個穿西裝的	店員	think	店員：（想了一下）他買過東西嗎。〔想了一下→think〕	OK		玩家：我想問一個客人。 ／ 店員：喔。 ／ 玩家：很高。穿西裝。 ／ 店員：穿西裝的每天都有。 ／ 玩家：這個住樓上。我晚上七點多在一樓看過他。 ／ 店員：（想了一下）他買過東西嗎。 ／ 玩家：不知道。 ／ 店員：……我不確定他有沒有進來過。
inv-219	問店員那個穿西裝的	店員	think	（沿用前一張）	OK		店員：可以啊。
inv-220	問店員那個穿西裝的	店員	think	（沿用前一張）	OK		玩家：問便利商店的店員。他說穿西裝的每天都有。 我補了住樓上、晚上七點多在一樓看過。他反過來問我那個人買過什麼。 我答不出來，所以他也答不出來。 他認人是靠買了什麼。那個人在他這裡沒有買過東西。 這一份不能用。
inv-222	問店員每次都買一樣的那個客人	店員	think	店員：（想了一下）深夜有一個。〔想了一下→think〕	OK		玩家：這裡有沒有客人每次都買一樣的。 ／ 店員：（想了一下）深夜有一個。 ／ 店員：關東煮，兩顆蘿蔔，一杯無糖。 ／ 玩家：每次都一樣嗎。 ／ 店員：每次。蘿蔔的數量沒有變過。 ／ 玩家：他長什麼樣子。 ／ 店員：……不好意思，我想不起來。 ／ 玩家：你記得蘿蔔。 ／ 店員：蘿蔔是我夾的。 ／ 玩家：白天呢。 ／ 店員：白天不行。白天一個接一個，我連上一個買什麼都想不起來。 ／ 玩家：所以你想回大夜。 ／ 店員：晚上就那幾個。記得住。
inv-223	問店員每次都買一樣的那個客人	店員	think	（沿用前一張）	OK		玩家：深夜有一個常客。關東煮，兩顆蘿蔔，一杯無糖。從來沒有換過。 店員說不出他長什麼樣子，可是蘿蔔的數量他記得，因為蘿蔔是他夾的。 白天他一個都記不住。晚上只有那幾個，所以記得住。 記一下：要找一個人，先問他買什麼。 深夜要自己去一趟。
inv-279	上去看看	諾亞	down	修收音機的：（沒有抬頭）今天沒有東西壞掉。〔沒有抬頭→down〕	OK		修收音機的：（沒有抬頭）今天沒有東西壞掉。 ／ 玩家：嗯。 ／ 旁白：他把袋子拎起來。 ／ 修收音機的：我下去一下。
inv-321	深夜，去工作室	斑比	away	斑比：（沒有回頭）等一下，我存一下。〔沒有回頭→away〕	OK		斑比：（沒有回頭）等一下，我存一下。 ／ 斑比：椅子上那些你推開就好。 ／ 旁白：她站在螢幕後面。畫面上那個人正在伸手拿一個杯子。 ／ 玩家：她的手指沒有壓到杯子。 ／ 斑比：…… ／ 斑比：上一版壓到了。 ／ 玩家：嗯。 ／ 斑比：（把筆蓋從嘴裡拿出來）只有一個人會講這個。 ／ 斑比：大家只會講這版比較好，或者這版怪怪的。 ／ 斑比：（很快地）你不要以為我在誇你。你是第二個。 ／ 玩家：第一個是誰。 ／ 斑比：客戶的事我不講。 ／ 旁白：她站起來，走到房間另外一邊，按了牆上的開關。
inv-322	深夜，去工作室	斑比	away	（沿用前一張）	她在看牆、取截圖、疊紙，不是盯著繪圖板（旁白用「她」，規則對不到）	base	旁白：那面牆從天花板下面排到腰的高度，全部是印出來的截圖，用圖釘釘著。 一張一張都是同一個人。有的只有一隻手，有的只有半邊肩膀。 每一張的右下角用筆寫了日期。最下面那一排的紙已經黃了。
inv-323	深夜，去工作室	斑比	away	（沿用前一張）	她在看牆、取截圖、疊紙，不是盯著繪圖板（旁白用「她」，規則對不到）	base	斑比：硬碟裡是全部的。牆上是我常用的。 ／ 玩家：常用是哪一種。 ／ 斑比：她的手習慣往哪邊放。講話的時候頭會偏幾度。笑的時候哪一邊先動。 ／ 斑比：這種東西記不起來，要看。 ／ 斑比：我畫兩年了，還是要看。 ／ 旁白：她沿著牆走過去，一張一張看。 ／ 玩家：這一張沒有人。 ／ 斑比：那是她的桌子。 ／ 斑比：本子攤開的我留著，因為那個角度手最自然。 ／ 斑比：本子入鏡的不多。
inv-324	深夜，去工作室	斑比	away	（沿用前一張）	她在看牆、取截圖、疊紙，不是盯著繪圖板（旁白用「她」，規則對不到）	base	旁白：那一張拍到的是一本攤開的本子，左邊那一頁。深色的封面，很厚，邊角磨掉了。 畫面壓過，字的邊緣一格一格的。可是數得出來。 最上面一行是日期。日期下面是六行。
inv-325	深夜，去工作室	斑比	away	（沿用前一張）	她在看牆、取截圖、疊紙，不是盯著繪圖板（旁白用「她」，規則對不到）	base	旁白：@CatGrass_80 @Tower_Manager @Null_0x99 @Bambi_Draft3 @Radio_Noah @考完就刪
inv-327	深夜，去工作室	斑比	away	"旁白：她把筆記本翻開，壓在桌角上，一行一行抄。
抄到第五行的時候停了一下，然後把那一行〔回到椅子上→away〕"	「停了一下」是玩家抄本子；斑比是「回到椅子上」→ 側身（程式第一版提 look）		旁白：她把筆記本翻開，壓在桌角上，一行一行抄。 抄到第五行的時候停了一下，然後把那一行抄完。 斑比回到椅子上。螢幕上那一版存起來了，她開了新的一版。
inv-328	深夜，去工作室	斑比	away	（沿用前一張）	沿用前一張的修正（程式第一版提 look）		玩家：斑比的牆。兩年份，印出來的。她說硬碟裡還有更多。 三張拍到本子第一頁。最早的到最新的中間隔了大半年。六行，一個字都沒有換。 跟管理員講的那一本對得上。 我一直以為那六行是她記得的東西。現在看起來比較像是一塊沒有被蓋掉的資料。 第四行是斑比本人。她早就知道，她沒有問過為什麼。 第五行：Radio Noah。 Radio。頂樓那間店在修收音機。 這太剛好了。他一次都沒有提過。他大概不想講。
inv-331	問他有沒有一個網路帳號	諾亞	down	修收音機的：（沒有抬頭）這麼早。〔沒有抬頭→down〕	OK		修收音機的：（沒有抬頭）這麼早。 ／ 玩家：我可以問一件事嗎。 ／ 修收音機的：問。 ／ 玩家：你有沒有一個網路上的帳號。 ／ 修收音機的：什麼帳號。 ／ 玩家：Radio Noah。 ／ 旁白：修收音機的把手上的東西放下來。 ／ 修收音機的：……那是什麼。 ／ 玩家：一個名字。在網路上用的。 ／ 修收音機的：Radio 我知道。 ／ 修收音機的：Noah 是我的名字。 ／ 修收音機的：可是我沒有那個東西。 ／ 玩家：你確定嗎。 ／ 修收音機的：我這裡的東西都不會上網。 ／ 旁白：他把那台翻過去，看背面。
inv-332	問他有沒有一個網路帳號	諾亞	down	"旁白：工作檯上那台收音機忽然響了一聲，很短，然後又沒了。
修收音機的低下頭去，繼續弄他〔工作檯上→down〕"	OK		旁白：工作檯上那台收音機忽然響了一聲，很短，然後又沒了。 修收音機的低下頭去，繼續弄他的。
inv-341	跟靠窗那個人講話	貓草	away	旁白：那個客人沒有抬頭。他把杯子裡最後一口喝掉。〔沒有抬頭→away〕	OK		旁白：那個客人沒有抬頭。他把杯子裡最後一口喝掉。 ／ 玩家：不好意思。 ／ 客人：你是記者喔。 ／ 玩家：不是。 ／ 客人：喔。 ／ 玩家：這家店幾點人最少。 ／ 客人：三點。 ／ 玩家：你每天都這個時間在。 ／ 客人：我每天都坐這裡啊。 ／ 客人：他每次都買三包。 ／ 玩家：你剛剛都沒有抬頭。 ／ 客人：我在吃東西。 ／ 旁白：他把杯子丟掉，回去看手機。
inv-342	跟靠窗那個人講話	貓草	away	（沿用前一張）	OK		玩家：深夜十一點，便利商店。經紀人本人。 盒子上印十六顆。三包，他說兩天。四十八顆扣掉睡覺，大概四十分鐘一顆。 他承認毛病是真的，而且說那不是機密。我一直在證明一件沒有人否認的事。 他一個字都沒有查。問什麼答什麼，答完就講下一件。 他說他沒有說不修，他說沒有人排這件事。我問要誰排，他沒有回答。 這句話我用不了。沒有錄音，也沒有第二個人聽到。 手錶那兩下，可能是行事曆。他沒有說再見，可能是趕時間。 靠窗那個說他每次都買三包。所以他常來這一家。這附近有什麼。 店員對他說歡迎光臨，對我沒有說。在這家店，他是新客人，我不是。
inv-384	跟關東煮那個人講話	貓草	away	（沿用前一張）	共用卡：跟關東煮那個人講話→base、再跟關東煮那個人講話→away、第三次跟關東煮那個人講話→away		玩家：最後一個問題。 ／ 客人：沒有。 ／ 旁白：玩家還沒有問。 ／ 旁白：他把椅子往窗戶那邊轉了一點，看外面。 ／ 旁白：他沒有走。他也沒有再拿手機。
inv-382	跟關東煮那個人講話	貓草	away	（沿用前一張）	共用卡：跟關東煮那個人講話→base、再跟關東煮那個人講話→away、第三次跟關東煮那個人講話→away		玩家：我只問一件事。 ／ 客人：你已經問很多件了。 ／ 玩家：她是真的會忘記，還是那是設定。 ／ 客人：我不知道。 ／ 玩家：你每天坐在這裡，電視上一直在播她。 ／ 客人：我坐這裡是因為有位子。
inv-385	跟關東煮那個人講話	貓草	away	（沿用前一張）	共用卡：跟關東煮那個人講話→base、再跟關東煮那個人講話→away、第三次跟關東煮那個人講話→away		玩家：我問了三次。第三次他就不講了。 他沒有走。他只是不看我。 下次少問一點。
inv-367	再跟關東煮那個人講話	貓草	away	旁白：玩家走過去。那個客人把手機拿起來。〔手機→away〕	OK		旁白：玩家走過去。那個客人把手機拿起來。 ／ 客人：我上次講過了。 ／ 玩家：這次問的是別人。 ／ 客人：喔。 ／ 玩家：她的聊天室裡面有一個 ID 叫貓草。你聽過嗎。 ／ 客人：沒有。 ／ 玩家：等級八十。我往回翻，翻到最舊的一場，他都在。 ／ 旁白：他停下來，把蘿蔔放回碗裡。 ／ 客人：……你找他幹嘛。 ／ 玩家：我想問他記不記得以前的事。 ／ 客人：他不會跟你講。 ／ 玩家：你認識他？ ／ 客人：我說沒有。
inv-370	再跟關東煮那個人講話	貓草	away	（沿用前一張）	OK		玩家：你剛剛說他不會跟我講。 ／ 客人：那種人就是不會講。 ／ 玩家：哪種人。 ／ 客人：…… ／ 旁白：他把最後一顆蘿蔔吃掉，端著碗走到回收架那邊放好，杯子丟進旁邊的桶子。 ／ 旁白：他回來拿手機，沒有再坐下。 ／ 旁白：自動門開了又關。
inv-371	再跟關東煮那個人講話	貓草	away	（沿用前一張）	OK		玩家：第二次。他記得我。我一走過去他就把手機拿起來。 我問了那個 ID。他說沒有。 他說那個人不會跟我講。 一個沒聽過那個 ID 的人，知道那個人不會跟我講。 我可能問錯方向。這一家的常客跟聊天室大概沒有關係。 再來一次。這次不要提她。
inv-376	第三次跟關東煮那個人講話	貓草	away	（沿用前一張）	OK		玩家：那個蘿蔔要煮多久才會變成那個顏色。 ／ 客人：不知道。他們煮好的。 ／ 玩家：你每次都拿兩顆。 ／ 客人：一顆不夠，三顆太多。 ／ 旁白：他把碗往自己那邊拉了一點。
inv-378	第三次跟關東煮那個人講話	貓草	away	（沿用前一張）	OK		旁白：玩家把本子收起來，走到門口。 ／ 客人：三次了。 ／ 旁白：玩家停下來。 ／ 玩家：你在算喔。 ／ 客人：我沒有在算。 ／ 旁白：他把手機翻回正面拿起來。那張卡貼著他的手心。 ／ 客人：……你上次問的那個 ID。 ／ 玩家：嗯。 ／ 客人：沒什麼。 ／ 旁白：他低頭看手機。
inv-380	第三次跟關東煮那個人講話	貓草	away	（沿用前一張）	OK		玩家：第三次。這次是他先開口。 他說三次了。然後他說他沒有在算。 他提了那個 ID，講到一半自己停下來，說沒什麼。 我沒有追。今天不要。 他有東西沒有講。我不知道是什麼，也不知道要拿什麼去換。
inv-389	進手辦店	貓草	away	客人：（沒有回頭）不要站在我後面。〔沒有回頭→away〕	OK		旁白：那個客人手上拿著一個壓克力立牌的盒子。塑膠殼有點霧，角落貼著手寫的標價。 ／ 玩家：不好意思。 ／ 客人：（沒有回頭）不要站在我後面。 ／ 旁白：玩家往旁邊站了一步。 ／ 客人：（看了她一眼）……你喔。 ／ 玩家：嗯。 ／ 客人：喔。 ／ 旁白：他把盒子換到另一隻手，繼續看櫃子。
inv-391	問她的東西在哪一區	貓草	face	客人：（下巴指了一下）靠窗。〔下巴指→face〕	OK		玩家：她的東西在哪一區。 ／ 客人：（下巴指了一下）靠窗。 ／ 玩家：我是說第一批的。 ／ 客人：新品區沒有那種東西。 ／ 玩家：你認識她本人嗎。 ／ 客人：不認識。 ／ 玩家：你在這裡買她的東西。 ／ 客人：那不叫認識。 ／ 旁白：他把脖子上那副耳機撥上來，戴好。 ／ 旁白：他往下一格櫃子移動，沒有再看她。
inv-392	問她的東西在哪一區	貓草	face	（沿用前一張）	OK		玩家：手辦店，二樓。她的東西在最上面兩層，立牌跟貼紙。地板那一籃打五折。 我問了三句她的事。第三句他就把耳機戴起來了。 他在這裡買她的東西，他說那不叫認識。 下次不要一進門就問她。
inv-394	問他手上那個	貓草	face	客人：（把盒子轉過來）……嗯。第一批是印的，後面都是貼紙。〔把盒子轉過來→face〕	OK		玩家：那個是第一批的嗎。 ／ 客人：你看得出來喔。 ／ 玩家：那個跟旁邊那幾個不一樣。 ／ 客人：（把盒子轉過來）……嗯。第一批是印的，後面都是貼紙。 ／ 玩家：你有幾個。 ／ 客人：這個是第二個。 ／ 玩家：你已經有一個了。 ／ 客人：那個會黃。壓克力放久了會黃。 ／ 玩家：所以你買備用的。 ／ 旁白：他沒有回答。他把盒子上那張標價貼紙壓平。 ／ 玩家：這種的還找得到嗎。 ／ 客人：很少。要一直看。 ／ 客人：他們禮拜二上架。我禮拜二跟禮拜五來。 ／ 玩家：你買很久了喔。 ／ 客人：兩年。 ／ 客人：兩年沒有斷過。 ／ 客人：有一次停電。我用手機。 ／ 客人：第一場就有我。 ／ 玩家：幾個人。 ／ 客人：七個。 ／ 玩家：你記得。 ／ 客人：七個很好數啊。 ／ 玩家：為什麼一定要每天。 ／ 客人：我剛好每天都有空。 ／ 旁白：他把櫃子拉開一格，又推回去。 ／ 客人：人多的時候你講什麼都會被洗掉啊。 ／ 客人：（停）沒有了啦。
inv-395	問他手上那個	貓草	face	（沿用前一張）	OK		旁白：那個客人蹲下去看最下面那一格。那一格全是別人寄賣的， 玻璃上一格一格用膠帶貼著編號。 螢幕上那支片子跑完了，從頭開始。
inv-396	問他手上那個	貓草	face	（沿用前一張）	OK		玩家：這些你都放哪裡。 ／ 客人：我房間。 ／ 客人：這種的有一整層。 ／ 玩家：一整層？ ／ 旁白：他站起來，把盒子抱在手上，另一隻手插回口袋。 ／ 客人：還有一些現在網路上找不到的東西。 ／ 客人：我不會給你看啦。 ／ 客人：你不要想。
inv-397	問他手上那個	貓草	face	（沿用前一張）	OK		玩家：手辦店，二樓。他在寄賣櫃那一排一格一格看，看到最下面那一格。 這家店是他自己講的。他沒有問我怎麼找到的。 第一批的立牌他有兩個。第二個是備用，因為壓克力會黃。 他買兩年了，沒有斷過。停電那天他用手機。第一場七個人，他記得是七個。 他說人多的時候講什麼都會被洗掉。 他房間有一整層，還有一些網路上找不到的東西。他說他不會給我看。 我沒有問是什麼。今天不問。
inv-400	跟他回家	貓草	away	客人：（沒有抬頭）你今天很晚。〔沒有抬頭→away〕	OK		客人：（沒有抬頭）你今天很晚。 ／ 玩家：你也是。 ／ 客人：我每天都這樣啊。 ／ 玩家：（看桌上）這一份是誰的。 ／ 客人：第二件半價啦。 ／ 玩家：…… ／ 旁白：他把杯子裡最後一口喝掉。 ／ 客人：你等一下有事嗎。 ／ 玩家：沒有。 ／ 客人：我家在後面那條。 ／ 客人：東西都在我家。你要看的話。 ／ 玩家：好。 ／ 客人：（站起來）走啦。
